,Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr,Latest_NAV(Rs.),Risk
0,Aditya Birla Sun Life Corporate Bond Fund,11.22,10.22,9.23,9.19,8.94,8.66,83.455,Below Average
1,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,11.38,10.37,9.37,--,--,--,84.187,Below Average
2,Axis Banking & PSU Debt Fund,10.0,9.85,9.08,--,--,--,"2,012.487",Below Average
3,Axis Banking & PSU Debt Fund - Direct Plan,10.33,10.17,9.37,--,--,--,"2,046.381",Below Average
4,DSP Corporate Bond Fund - Direct Plan,10.58,--,--,--,--,--,12.48,Average
5,DSP Corporate Bond Fund - Regular Plan,10.3,--,--,--,--,--,12.417,Average
6,HDFC Corporate Bond Fund,10.92,10.2,9.23,9.13,--,--,24.289,Average
7,HDFC Corporate Bond Fund - Direct Plan,11.15,10.37,9.38,--,--,--,24.496,Average
8,ICICI Prudential Corporate Bond Fund,10.43,9.58,8.73,--,--,--,22.07,Below Average
9,ICICI Prudential Corporate Bond Fund - Direct Plan,10.77,9.92,9.06,--,--,--,22.825,Below Average
10,IDFC Banking & PSU Debt Fund - Direct Plan,11.53,11.03,9.61,--,--,--,19.04,Above Average
11,IDFC Banking & PSU Debt Fund - Regular Plan,11.14,10.68,9.32,--,--,--,18.778,Above Average
12,Kotak Banking and PSU Debt Fund - Direct Plan,10.91,10.31,9.4,--,--,--,50.281,Average
13,Kotak Banking and PSU Debt Fund Regular Plan,10.53,9.93,9.03,8.84,8.11,7.58,49.219,Average
14,Kotak Corporate Bond Fund - Standard Plan,9.47,9.22,8.69,8.72,--,--,"2,829.372",Low
15,Kotak Corporate Bond Fund - Standard Plan - Direct Plan,9.79,9.53,8.99,--,--,--,"2,905.879",Low
16,LIC MF Banking & PSU Debt Fund,8.79,8.96,8.3,7.85,--,--,26.935,Low
17,LIC MF Banking & PSU Debt Fund - Direct Plan,9.38,9.56,8.93,--,--,--,28.318,Low
18,L&T Triple Ace Bond Fund,12.37,11.4,9.42,8.46,7.44,6.67,56.005,Above Average
19,Nippon India Banking & PSU Debt Fund,10.8,10.15,9.08,--,--,--,15.732,Average
20,Nippon India Banking & PSU Debt Fund - Direct Plan,11.33,10.63,9.49,--,--,--,15.987,Average
21,UTI Corporate Bond Fund - Direct Plan,11.74,--,--,--,--,--,12.485,Average
22,UTI Corporate Bond Fund - Regular Plan,11.44,--,--,--,--,--,12.403,Average
